tipo_aviso,tipo_orden,area,planta,fecha,costo_total,trabajo_real
breakdown,CO2,AR-17,PL-6,2017-05-22,2314698.06,19.5
breakdown,CO2,AR-17,PL-6,2017-06-05,4480116.0,11.899999999999999
breakdown,CO2,AR-17,PL-6,2017-07-10,3266155.0,23.0
breakdown,CO2,AR-17,PL-6,2017-07-17,1612456.4100000001,40.900000000000006
breakdown,CO2,AR-17,PL-6,2017-07-31,2924527.38,33.2
breakdown,CO2,AR-17,PL-6,2017-08-07,3863410.47,17.5
breakdown,CO2,AR-17,PL-6,2017-08-21,98100.0,24.0
breakdown,CO2,AR-17,PL-6,2017-09-18,2562580.0,10.3
breakdown,CO2,AR-17,PL-6,2017-09-25,4749121.63,83.0
breakdown,CO2,AR-17,PL-6,2017-10-16,2925339.0,16.0
breakdown,CO2,AR-17,PL-6,2017-10-23,5451000.0,20.7
breakdown,CO2,AR-17,PL-6,2017-11-06,7563192.75,31.3
breakdown,CO2,AR-17,PL-6,2017-12-11,595864.0,8.9
breakdown,CO2,AR-17,PL-6,2017-12-18,90960.0,3.2
breakdown,CO2,AR-17,PL-6,2017-12-25,499261.04,10.999999999999998
breakdown,CO2,AR-17,PL-6,2018-01-15,2442527.1100000003,13.5
breakdown,CO2,AR-17,PL-6,2018-01-29,1523890.82,6.4
breakdown,CO2,AR-17,PL-6,2018-02-12,159322.0,24.0
breakdown,CO2,AR-17,PL-6,2018-02-19,2344269.0,47.900000000000006
breakdown,CO2,AR-17,PL-6,2018-02-26,1269000.0,17.7
breakdown,CO2,AR-17,PL-6,2018-03-05,5842190.109999999,33.0
breakdown,CO2,AR-17,PL-6,2018-03-12,2128161.41,41.1
breakdown,CO2,AR-17,PL-6,2018-03-19,1690064.52,16.8
breakdown,CO2,AR-17,PL-6,2018-03-26,14334933.46,66.9
breakdown,CO2,AR-17,PL-6,2018-04-02,73914.25,29.7
breakdown,CO2,AR-17,PL-6,2018-04-09,12207719.440000001,41.300000000000004
breakdown,CO2,AR-17,PL-6,2018-04-16,2496492.7600000002,48.5
breakdown,CO2,AR-17,PL-6,2018-04-23,3037302.46,46.89999999999999
breakdown,CO2,AR-17,PL-6,2018-04-30,1450000.0,30.6
breakdown,CO2,AR-17,PL-6,2018-05-07,22119413.18,19.3
breakdown,CO2,AR-17,PL-6,2018-05-14,28171619.27,150.5
breakdown,CO2,AR-17,PL-6,2018-05-21,979000.0,44.300000000000004
breakdown,CO2,AR-17,PL-6,2018-05-28,2484645.09,54.800000000000004
breakdown,CO2,AR-17,PL-6,2018-06-04,1382889.06,13.7
breakdown,CO2,AR-17,PL-6,2018-06-11,1385892.6,82.3
breakdown,CO2,AR-17,PL-6,2018-06-18,32300.0,10.0
breakdown,CO2,AR-17,PL-6,2018-06-25,36400.0,25.3
breakdown,CO2,AR-17,PL-6,2018-07-02,978066.45,38.199999999999996
breakdown,CO2,AR-17,PL-6,2018-07-09,257116.26,1.0
breakdown,CO2,AR-17,PL-6,2018-07-16,2720710.0,30.5
breakdown,CO2,AR-17,PL-6,2018-07-23,2168452.0,98.0
breakdown,CO2,AR-17,PL-6,2018-07-30,1567659.68,8.4
breakdown,CO2,AR-17,PL-6,2018-08-06,813521.24,110.5
breakdown,CO2,AR-17,PL-6,2018-08-13,5168781.76,42.08
breakdown,CO2,AR-17,PL-6,2018-08-20,6910394.82,23.3
breakdown,CO2,AR-17,PL-6,2018-08-27,1358149.91,4.5
breakdown,CO2,AR-17,PL-6,2018-09-03,741226.07,22.699999999999996
breakdown,CO2,AR-17,PL-6,2018-09-10,882000.0,2.4
